Year,Month,PL
2021,Jan,-7464
2021,Feb,-963
2021,Mar,-23557
2021,Apr,-16599
2021,May,-20016
2021,Jun,-15390
2021,Jul,-7578
2021,Aug,-17558
2021,Sep,-6870
2021,Oct,-21930
2021,Nov,-5725
2021,Dec,-6408

2022,Jan,-4923
2022,Feb,-25761
2022,Mar,-13116
2022,Apr,-11074
2022,May,-14115
2022,Jun,7051
2022,Jul,4397
2022,Aug,-67203
2022,Sep,-24818
2022,Oct,-35466
2022,Nov,-12448
2022,Dec,-5952

2023,Jan,22706
2023,Jun,-66391
2023,Jul,13753
2023,Aug,-65675
2023,Sep,63157
2023,Oct,-205349
2023,Nov,-73525
2023,Dec,45675

2024,Jan,-273681
2024,Feb,-188517
2024,Mar,27599
2024,Apr,348708
2024,May,-362512
2024,Jun,-313107
2024,Jul,46227
2024,Aug,39885
2024,Sep,-307611
2024,Oct,-267173
2024,Nov,-217383
2024,Dec,-44325

2025,Jan,-212523
2025,Feb,-154410
2025,Mar,-128244
2025,Apr,-230058
2025,May,-138492
2025,Jun,-22395
2025,Jul,-411184
2025,Aug,-75394
2025,Sep,-65255
2025,Oct,-54179
2025,Nov,-195036
2025,Dec,16569

2026,Jan,-23189
